f,v
190.304,4.61414
151.437,-2.49733
120.153,6.01376
190.149,4.6194
168.458,-5.16282
29.985,-7.89356
181.378,3.1189
8.14439,9.05833
91.3649,1.40964
179.428,4.92064
198.693,4.18207
196.372,3.63836
141.861,5.65126
162.641,-2.70832
187.874,-4.69272
171.427,-2.88784
137.942,-5.71778
136.813,-2.2373
169.766,5.13591
190.935,3.40101
178.981,4.93141
187.187,4.71355
194.529,-4.44922
70.1871,0.907655
73.3711,-0.995956
165.261,5.22694
187.713,-4.69764
81.9768,-1.20736
177.147,-3.01578
195.091,4.42283
67.5846,-0.829478
153.371,2.53276
146.089,2.4009
73.4553,0.9982
85.9266,6.59565
193.864,3.51506
161.222,-2.6807
165.368,5.22482
172.206,-2.90465
110.678,1.77793
54.1794,-0.0964786
9.94141,8.89813
183.177,-4.82599
181.961,-3.13388
198.212,3.76562
136.472,5.74255
106.071,6.24778
131.258,-5.82979
169.672,-5.13785
110.929,6.16662
78.7342,-1.13144
144.268,5.60999
179.074,4.92919
133.455,2.17871
199.089,4.13187
63.5874,-0.694347
192.556,-4.53214
199.465,-4.05175
180.79,4.88719
189.195,4.65104
199.484,-4.04386
116.43,-6.07535
140.742,5.67033
180.981,-4.88243
82.3095,-6.6611
168.431,-2.82474
167.835,2.81243
54.549,0.166104
198.569,-4.19514
198.981,4.14726
91.8372,-6.49103
67.4634,-0.825677
128.803,-5.8706
195.805,3.6072
188.834,-4.66267
190.209,4.61738
158.545,-5.35545
115.316,-1.86105
141.182,5.66285
192.902,-4.51851
99.2795,1.56621
194.954,3.56452
71.4777,6.86536
199.388,4.0752
162.778,-2.711
133.644,2.182
170.862,5.113
132.424,2.16075
198.682,3.81125
179.066,3.06147
195.762,-3.60496
85.3525,6.60597
189.086,-3.33832
199.21,4.11241
199.229,-4.10895
164.266,2.74036
172.322,2.90718
193.1,4.51056
167.922,2.81422
58.6933,7.12838
142.02,5.64855
199.494,4.0397
153.798,2.54063
5.48076,-9.36241
146.136,-5.57771
95.2097,6.43243
112.32,6.1435
123.268,2.00116
165.765,2.77031
148.404,5.53817
192.893,4.51888
188.629,-3.32363
122.581,-1.98914
162.366,-2.70293
22.4767,-8.17918
13.9604,-8.61254
151.983,5.4749
147.652,5.55133
194.979,4.4282
92.3377,-1.42945
197.203,3.68941
192.18,-4.54662
87.1785,-6.57327
55.2618,0.250806
28.2344,7.95487
199.356,-3.91145
194.059,4.47021
162.938,2.71413
192.483,-4.53498
88.8925,-1.35844
120.585,1.95415
199.418,3.92756
198.015,3.74888
196.965,4.32028
196.299,-3.63417
141.284,-5.6611
199.485,3.95076
159.792,-5.33212
164.938,2.75374
193.094,3.4828
56.6647,7.17303
96.9356,1.52085
175.261,2.97233
190.889,4.59382
130.913,-2.13445
147.269,-5.55801
187.655,-4.69942
196.452,-3.64292
75.724,-1.05715
34.3525,7.75126
144.524,5.60558
196.334,-3.63619
72.3361,6.84864
57.756,-7.14889
109.852,-1.76297
100.782,1.59489
196.029,3.61923
61.8224,0.626243
190.114,-3.3725
194.916,4.43123
199.497,4.03815
171.328,-5.10318
147.267,2.42198
166.536,2.7859
134.502,5.77562
88.4443,6.55076
195.072,3.57016
190.95,-3.40155
108.296,-6.21053
172.32,2.90713
191.862,3.43479
65.9633,0.777256
196.705,-4.33626
59.0579,7.12045
198.697,3.81294
199.423,4.06556
147.876,-5.54742
157.867,5.36802
139.591,-5.68989
155.618,5.40936
118.093,6.04784
66.0148,-6.97428
56.7785,0.371949
147.448,-5.55489
173.159,2.92544
186.113,4.74507
137.447,-5.72613
47.9605,7.37674
68.399,-6.92617
66.4912,-6.96459
89.3814,1.36866
174.839,-2.96282
123.439,2.00416
156.381,2.58862
99.3445,-6.36149
134.421,2.19555
64.1603,0.715149
159.822,-5.33157
154.032,-2.54495
196.927,-4.32264
179.619,-4.91601
199.5,3.95785
193.383,-3.49469
122.787,5.97023
65.7581,0.770421
9.21814,-8.95943
97.2021,-1.52605
170.875,2.87604
183.482,4.8179
185.132,4.77291
198.344,-4.21698
149.447,-5.51986
105.662,1.68631
165.191,-5.22832
197.562,3.71421
193.092,-3.48272
158.774,-2.63375
122.005,-1.97905
135.396,-5.76063
186.525,3.25932
151.896,-5.47646
170.626,2.87074
137.696,5.72194
177.94,-4.95614
148.304,-2.44061
183.949,-4.80537
67.4199,6.94582
192.272,-3.45035
197.809,4.26175
113.122,-6.13018
83.6736,-1.24566
167.631,-2.80825
158.009,-2.61924
33.1327,-7.78962
199.492,-4.04053
177.833,3.03192
126.355,-5.91119
98.6545,6.37326
196.305,3.6345
139.742,-2.28862
73.4059,6.82796
198.607,3.8032
199.084,3.86191
180.261,4.90032
149.415,5.52042
148.293,2.44041
148.544,2.44492
81.161,1.18862
52.7572,7.26186
122.635,-1.99009
164.838,-2.75174
189.496,-3.35175
199.518,3.96865
156.289,2.58689
131.56,2.1457
25.0206,-8.07526
65.5048,6.98469
78.4664,-1.12499
194.188,3.52924
119.984,1.94358
53.8157,-7.23741
67.8955,-0.839156
179.492,-4.9191
172,2.9002
128.913,2.09963
199.395,-3.92137
141.529,-2.32006
76.7609,-1.08321
49.2756,-7.34454
170.591,-5.11869
114.212,-6.11209
199.538,-4.00144
158.232,2.62345
188.278,-3.31254
192.74,3.46862
167.43,-5.18367
188.42,-3.31701
155.317,2.56876
84.381,1.26137
173.28,-5.06132
101.477,1.60807
183.959,-4.8051
161.012,2.67663
149.988,2.471
39.0209,7.61283
154.672,-5.42655
48.9953,-7.35135
142.606,-5.63853
197.578,-4.27897
160.187,-2.66075
139.205,-5.69642
88.4169,1.34844
195.854,3.6098
196.845,4.32777
77.9868,-1.11337
180.708,-4.88923
116.347,6.07673
146.148,-2.40197
175.1,-5.02119
151.76,-2.50323
176.322,-2.9966
72.2871,-6.8496
18.4873,8.36219
128.292,5.87908
107.072,1.71227
198.696,4.18169
180.093,4.90445
197.872,-3.73746
161.184,2.67996
133.272,-5.79619
152.409,2.5151
177.577,3.02587
185.48,-3.22908
165.467,2.76433
198.786,-3.82292
74.3613,-6.80961
183.477,3.17377
101.414,1.60688
138.523,-5.70796
129.971,-2.11804
185.899,4.75122
161.686,-2.6897
86.9787,-1.31788
182.691,-3.15289
198.064,-3.75293
177.559,3.02545
170.381,-2.86556
184.106,4.80113
167.015,2.79565
85.9062,-6.59602
164.246,5.24686
103.184,6.29636
17.0264,8.43703
76.727,-1.08237
156.795,2.59638
81.7918,-6.67057
165.279,-2.76055
103.303,6.29434
188.407,4.67618
50.6967,-7.31036
189.868,-4.62889
54.4689,-0.153709
174.79,-2.9617
58.9745,0.49829
71.5721,0.946936
120.054,6.01541
91.0268,6.50522
86.4413,1.30634
130.825,-5.83699
62.7921,0.664468
114.44,-1.84544
128.855,-5.86973
122.845,1.99377
125.248,-5.92952
77.4769,6.75055
66.0447,0.779956
191.506,4.57173
4.78032,-9.46345
179.089,3.06204
151.694,-5.48005
103.756,6.28671
169.464,-2.84625
149.34,-5.52173
177.602,-3.02646
198.089,4.23935
199.162,-3.87404
55.0114,0.224699
14.8733,-8.55728
196.827,4.32888
196.697,3.6574
98.744,-1.55591
54.1052,-0.0751114
93.8171,-1.45925
193.788,-3.51178
43.1306,7.50021
163.167,5.26783
157.474,2.60914
70.0559,-0.903856
194.802,-3.55728
41.2208,7.55159
199.056,4.13675
199.532,4.01267
144.599,-2.37438
195.532,-4.40095
88.5592,1.35144
89.4647,-1.3704
87.964,1.33887
147.864,-5.54762
104.941,1.67295
198.937,4.153
187.69,-3.2943
60.3582,-0.563928
199.537,4.00311
197.646,4.27405
196.043,3.61995
177.824,4.95886
179.65,3.07572
192.281,4.54276
198.163,4.23304
82.1693,6.66367
198.095,3.75556
198.056,3.75231
163.032,5.27042
194.56,-3.54604
170.553,-2.86919
125.657,-5.92275
24.5009,-8.09581
199.266,4.10211
182.215,-3.14045
180.087,-4.90459
174.282,2.95032
198.124,4.23636
146.344,2.40546
197.61,3.71764
163.415,-2.72351
44.7214,-7.45857
164.463,-5.24262
140.266,-5.67843
173.632,2.93587
199.44,-4.06027
29.2888,7.91762
196.38,-4.35536
199.029,4.14065
146.845,-5.5654
197.521,4.28303
159.675,-5.33433
166.837,-2.79201
120.719,-1.95649
182.354,4.8475
198.706,3.81383
142.761,-2.34182
190.261,-3.3775
173.02,-5.06696
92.34,-1.4295
75.1569,6.79441
140.757,-2.30647
145.301,-5.59217
181.005,-3.10946
194.857,4.43401
54.5716,-0.169435
198.95,-3.84313
195.397,-3.58623
151.291,-5.48722
55.4332,0.267224
46.6399,7.40965
163.357,-5.26415
156.706,-5.38945
190.456,4.60891
79.954,-6.7044
195.968,-4.37818
85.0883,1.27694
166.542,-2.78603
67.8544,0.837883
113.801,1.83404
194.944,-3.56401
160.172,-2.66046
197.809,3.73254
160.326,2.66341
110.441,-1.77364
142.313,-5.64354
113.516,1.82894
196.931,3.67185
94.0057,-6.45327
54.3414,0.131603
186.921,-3.27104
110.098,6.18047
177.166,-4.97419
59.4972,-7.11094
187.914,4.6915
91.4545,6.49773
173.72,2.93781
198.236,3.76774
72.3639,-6.8481
187.98,4.68945
181.915,-3.13269
92.4019,1.43075
155.95,-5.4033
196.499,-4.34845
197.205,-4.30471
12.8876,-8.68137
127.829,-2.08075
86.9994,1.31833
198.353,-4.21614
198.392,3.78191
170.758,5.1152
69.1369,-0.876851
175.685,5.00805
53.875,-7.23605
173.007,-2.92211
87.8918,-1.33734
190.781,3.39558
180.792,3.10409
190.425,3.38315
178.354,3.04431
190.436,-3.38353
37.2141,-7.66495
102.431,6.30909
27.7488,7.97238
197.961,3.74449
186.639,-4.72976
133.831,-2.18527
182.325,-4.84825
125.769,-2.04484
129.288,2.10615
196.805,4.33018
94.2895,1.46868
177.541,-3.02502
197.708,3.72489
137.326,2.24628
199.52,-4.02444
152.753,5.46114
195.763,-3.60499
174.618,2.95784
110.439,-1.7736
199.518,-3.96893
196.673,-3.65599
54.4509,-0.150782
115.185,1.85871
125.345,-5.92792
198.868,-4.16182
39.2073,7.60756
69.7555,6.8992
198.816,-4.16806
73.5111,6.82593
189.051,4.65571
185.283,-4.76867
199.492,4.04062
112.297,1.80709
168.642,2.82911
171.386,-5.10195
112.391,-6.14232
198.094,3.75548
41.3137,-7.54906
114.245,6.11155
199.483,-3.95026
188.547,4.67176
188.538,-3.32074
54.1739,-0.0950796
194.076,3.5243
157.073,-2.60158
95.481,1.49231
196.505,3.64605
30.218,7.8856
187.404,4.70702
165.976,5.21279
181.333,-4.87358
198.978,-3.84686
120.759,1.9572
174.77,-2.96125
158.832,-2.63485
65.7291,0.769449
186.587,4.7313
62.4387,-7.04826
180.812,-3.10459
179.803,4.91153
79.9399,1.16012
199.292,-3.89764
194.104,-4.46827
197.07,4.31358
76.2823,-1.07125
187.658,4.69931
199.527,4.01885
185.836,-3.23926
199.339,-3.90768
122.78,1.99264
142.496,5.64042
